Man Bai
Man Kadir
Man Raja Lawak
Mano Maniam
Mark Adam
Marlin Brando
Mas Khan
Mat Over
Mat Sentol
Mathni Razak
Melvin Sia
Meor Mohd
Michael Ang
Mie Raja Lawak
Mikail Andre
Miller
Mior Ahmat Zaudi
Mizal Zaini
Mohd Aszerul bin Nizam
Mohd Kardanie Anwa
Mohd Khairul Ikhwan Rosli
Mohd Shawal bin Ruslan
Mokhtaruddin
Mr. Os
Mubarak Majid
Muhammad Radhi Razali
Mustaffa Noor
Mustapha Kamal
Mustapha Maarof
Mustaqim Bahadon
Mustarjo
Nabil Ahmad
Nabil Aqil
Nabil Zamanhuri
Nadzmi Adhwa
Nafiez Zaidi
Nafiz Muaz
Naim Daniel
Ash Nair
Nam Ron
Nas T Muammar Zar
Nasir Ali
Nasir Bilal Khan
Nasir Jani
Nasir P. Ramlee
Nasiruddin Nasir
Nasrizal Ngasri
Nassier Wahab
Naszeli Ngasri
Nazim Othman
Nazrief Nazri
Nazril Idrus
Nazrudin Rahman
Niezam Zaidi
Nik Adam Mika
Nik Muhammad Farith Adruce
Nizen Ayob
Noor Lambak
Nordin Ahmad
Norman Hakim
Omar bin Ali
Omar Suwita
Opie Zami
Osman Kering
P. Paramasivam
P. Ramlee
Pablo Amirul
Pekin Ibrahim
Pierre Andre
PU Azman
Pyan Habib
Qazem Nor
Qi Razali
Que Haidar
Rab Khalid
Radhi Khalid
Raffi Hussain
Rahhim Omar
Rahim Jailani
Rahim Kidol
Rahim Maarof
Rahim R2
Rahim Razali
Raisuddin Hamzah
Raja Afiq
Raja Hakim
Rambo Chin
Ramli Hassan
Ramzani Kassim
Rashdan Baba
Rashidi Ishak
Raykarl Iskandar
Razif Hashim
Redza Minhat
Redza Rosli
Remy Ishak
Reza Hasbi
Reza Zainal
Ridzuan Hashim
Riz Amin
Rizal Ashreff
Ropie Cecupak
Roslan Saleh
Rosyam Nor
Roy Azman
Rusdi Ramli
Ruzzlan Abdullah Shah
Ryzal Jaafar
S. Alatun
S. Azam / Azam khan
S. Kadarisman
S. Roomai Noor
S. Rosley
S. Sudarmaji
Sabhi Saddi
Sabree Fadzil
